m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
165.0134089,6.88E-09,16766119,156008668.1,1244.24,1240.95,1292.24,2162,2606,2244,0
128.0177256,6.11E-09,16659146,33388513.8,609.268,604.658,623.754,1429,1826,1360,0
701.5590617,9.77E-07,16546988,17506290.62,259.609,256.974,271.744,10887,11224,11263,0
731.5409749,2.46E-07,16433391,37848972.03,230.688,224.348,251.421,11308,11613,11641,0
310.0866045,9.79E-08,16353039,41361970.86,596.678,591.041,605.979,5243,5792,5935,0
250.9876282,5.12E-10,16352365,70976698,1741.17,1736.46,1746.03,3920,4437,4419,0
102.0549231,5.39E-10,16336785,42275588.38,601.776,596.678,615.171,914,1238,709,0
134.1174908,3.02E-09,16298072,54462350.88,599.566,591.041,609.268,1550,1965,1564,0
210.9564743,1.16E-10,16230748,30819840,1250.82,1247.53,1250.82,3116,3609,3443,0
210.9564934,5.24E-10,16222500,60225817,1229.94,1227.46,1235.18,3116,3609,3444,0
351.0013199,7.06E-09,16191741,60073216,1229.94,1227.46,1235.18,6179,6717,6843,0
351.001236,9.31E-10,16119134,59677949,1240.95,1238.47,1247.53,6179,6717,6844,0
784.5834412,1.30E-06,16100922,34037648.47,224.348,218.534,245.063,12062,12321,12205,0
351.001298,2.39E-08,16046739,188681052.6,1216.05,1145.51,1221.83,6179,6717,6845,0
274.9359309,5.86E-10,15765906,151843753.5,1173.91,1148.25,1175.73,4427,4954,5028,0
358.9183212,3.06E-08,15659920,126207456.5,1270.89,1240.95,1296.16,6366,6898,7022,0
91.0582606,5.68E-10,15652397,45606307.45,657.427,643.651,672.218,750,1059,565,0
274.9359436,9.31E-10,15563418,44212674,1178.75,1178.75,1183.31,4427,4954,5029,0
704.5780741,1.93E-07,15411594,16612951.41,259.609,256.974,271.744,10912,11248,11284,0
309.0406616,7.45E-10,15376804,60239960,723.456,720.426,729.978,5212,5760,5900,0
104.0705524,5.11E-10,15359215,38425172.03,619.73,609.268,628.449,962,1293,760,0
147.0763779,4.42E-10,15357027,63172949,697.907,697.907,709.665,1818,2248,1852,0
104.1069202,2.09E-10,15354507,53256056,1078.07,1073.23,1079.61,964,1299,768,0
309.0406392,2.17E-09,15342613,38893933,715.18,711.881,718.476,5212,5760,5901,0
144.9273911,3.88E-10,15315627,58950134,1190.48,1190.48,1198.6,1758,2183,1779,0
203.1501904,8.99E-10,15302068,154875730.5,1071.01,1049.29,1102.14,2955,3444,3246,0
519.1538086,0.00214893,15286261,29641067.44,594.331,594.331,599.566,9043,9480,9621,0
128.0705292,2.99E-09,15212165,43693526.73,641.304,626.103,651.087,1434,1831,1364,0
104.1069191,1.80E-10,15192763,172684266.8,1081.29,1081.29,1116.93,964,1299,769,0
705.5256551,3.01E-07,15012633,35164740.28,233.587,227.656,251.421,10921,11257,11294,0
272.9567261,3.26E-09,15010758,69453776,1216.05,1210.55,1221.83,4374,4903,4958,0
309.040693,2.13E-09,14937119,83806832,689.775,686.483,701.934,5212,5760,5902,0
272.9567017,6.52E-10,14934840,69327340,1244.24,1235.18,1247.53,4374,4903,4959,0
272.9566956,1.86E-09,14844239,26974609,1207.67,1204.92,1207.67,4374,4903,4960,0
768.5374878,5.39E-07,14465169,18435450.36,185.057,181.759,194.95,11800,12078,11994,0
522.3553772,5.59E-08,14208561,15209301.91,259.609,259.609,271.744,9076,9509,9648,0
358.9183121,2.10E-09,14191175,47941798,1178.75,1175.73,1183.31,6366,6898,7023,0
152.0540375,4.96E-09,14180182,31681953.63,591.041,587.749,599.566,1919,2355,1975,0
114.0661783,5.50E-10,14140080,87322692.64,604.658,591.041,628.449,1139,1488,968,0
358.9182739,0,14075880,37571784,1173.91,1167.6,1173.91,6366,6898,7024,0
734.5621067,4.31E-06,14045070,31861725.97,230.688,224.348,248.374,11346,11645,11670,0
121.0839989,3.06E-09,14000505,43564176.02,561.985,557.161,576.226,1289,1671,1188,0
296.9180825,5.61E-08,13938211,70365872.16,1270.89,1260.02,1289.07,4917,5457,5577,0
153.0900601,8.30E-10,13813218,93821474.88,542.231,537.534,567.325,1948,2386,2000,0
153.0901474,1.44E-08,13762954,50767358.48,534.512,511.907,534.512,1948,2386,2001,0
192.0322784,9.62E-09,13723707,30841536,577.765,576.226,586.555,2723,3204,2977,0
318.1292826,1.15E-08,13644101,22362239.31,605.979,604.658,609.268,5455,6003,6139,0
156.0418939,2.63E-09,13635150,64046146.98,649.013,638.555,657.427,1980,2419,2034,0
450.3406982,3.22E-07,13617287,24002240.23,175.162,164.743,198.253,8110,8591,8789,0
158.1174903,6.40E-09,13563238,38917560.23,591.041,569.537,605.979,2033,2474,2091,0
173.1283226,1.13E-08,13513537,48155874.77,573.966,565.247,581.054,2325,2788,2482,0
120.0655121,5.65E-10,13147109,56635462,697.907,695.557,704.691,1261,1635,1137,0
238.0920143,2.89E-08,13135936,21999474.38,594.331,591.041,599.566,3646,4164,4098,0
243.1436483,1.03E-08,13106995,46539237.18,785.562,772.24,805.319,3772,4289,4243,0
131.053154,2.33E-08,13043895,41884462.7,662.031,651.087,672.218,1486,1892,1457,0
234.9175817,3.13E-09,12982499,67563467.63,1263.18,1260.02,1289.07,3581,4096,4029,0
