LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PIP(36:3/18:1)-H,PIP,(36:3/18:1),M-H,C63 H115 O16 N0 P2,1189.770317,25.472681,N,1,1189.769768,1189.76659,C
PIP(36:2/18:1)-H,PIP,(36:2/18:1),M-H,C63 H117 O16 N0 P2,1191.779895,26.242569,N,1,1191.779346,1191.78224,C
MG(16:0)+NH4,MG,(16:0),M+NH4,C19 H42 O4 N1,348.310553,11.082448,P,1,348.3111015,348.3108355,C
MG(18:1)+H,MG,(18:1),M+H,C21 H41 O4,357.299384,11.231769,P,1,357.2999325,357.2999365,C
DG(10:0p/8:0)+NH4,DG,(10:0p/8:0),M+NH4,C21 H44 O4 N1,374.326229,11.715369,P,1,374.3267775,374.3264855,C
PE(8:0p/8:0)+H,PE,(8:0p/8:0),M+H,C21 H43 O7 N1 P1,452.276646,5.715181,P,1,452.2771945,452.2771685,C
PE(8:0e/8:0)+H,PE,(8:0e/8:0),M+H,C21 H45 O7 N1 P1,454.29232,7.298981,P,1,454.2928685,454.2928185,C
PE(8:0p/10:0)+H,PE,(8:0p/10:0),M+H,C23 H47 O7 N1 P1,480.308127,7.937946,P,1,480.3086755,480.3084685,C
PE(8:0e/10:0)+H,PE,(8:0e/10:0),M+H,C23 H49 O7 N1 P1,482.323843,11.526525,P,1,482.3243915,482.3241185,C
PE(8:0p/12:0)+H,PE,(8:0p/12:0),M+H,C25 H51 O7 N1 P1,508.339542,11.168337,P,1,508.3400905,508.3397685,C
DG(16:1p/16:1)+H,DG,(16:1p/16:1),M+H,C35 H65 O4,549.487122,22.387564,P,1,549.4876705,549.4877365,C
DG(16:1p/16:0)+H,DG,(16:1p/16:0),M+H,C35 H67 O4,551.500356,24.11369,P,1,551.5009045,551.5033865,C
MG(32:0)+H,MG,(32:0),M+H,C35 H71 O4,555.534281,25.516484,P,1,555.5348295,555.5346865,C
DG(18:0p/14:0)+NH4,DG,(18:0p/14:0),M+NH4,C35 H72 O4 N1,570.545306,23.430085,P,1,570.5458545,570.5455855,C
MG(32:0)+NH4,MG,(32:0),M+NH4,C35 H74 O4 N1,572.560587,25.449999,P,1,572.5611355,572.5612355,C
DG(16:1p/18:1)+H,DG,(16:1p/18:1),M+H,C37 H69 O4,577.516412,23.998798,P,1,577.5169605,577.5190365,C
MG(34:1)+H,MG,(34:1),M+H,C37 H73 O4,581.54958,25.774705,P,1,581.5501285,581.5503365,C
MG(34:0)+H,MG,(34:0),M+H,C37 H75 O4,583.565055,27.030881,P,1,583.5656035,583.5659865,C
DG(18:0p/16:1)+NH4,DG,(18:0p/16:1),M+NH4,C37 H74 O4 N1,596.560443,24.360504,P,1,596.5609915,596.5612355,C
DG(18:0p/16:0)+NH4,DG,(18:0p/16:0),M+NH4,C37 H76 O4 N1,598.576016,25.164136,P,1,598.5765645,598.5768855,C
MG(34:1)+NH4,MG,(34:1),M+NH4,C37 H76 O4 N1,598.57626,25.710534,P,1,598.5768085,598.5768855,C
MG(34:0)+NH4,MG,(34:0),M+NH4,C37 H78 O4 N1,600.591431,27.903141,P,1,600.5919795,600.5925355,C
DG(18:2p/18:1)+H,DG,(18:2p/18:1),M+H,C39 H71 O4,603.530922,23.84231,P,1,603.5314705,603.5346865,C
DG(18:1p/18:1)+H,DG,(18:1p/18:1),M+H,C39 H73 O4,605.554591,23.79166,P,1,605.5551395,605.5503365,C
DG(6:0/21:0)+(CH3CH2)3NH,DG,(6:0/21:0),M+(CH3CH2)3NH,C36 H74 O5 N2,614.561893,23.78254,P,1,614.5624415,614.5592245,C
DG(18:0p/18:1)+NH4,DG,(18:0p/18:1),M+NH4,C39 H78 O4 N1,624.591613,25.719576,P,1,624.5921615,624.5925355,C
MG(36:1)+NH4,MG,(36:1),M+NH4,C39 H80 O4 N1,626.607539,27.22462,P,1,626.6080875,626.6081855,C
SM(d12:0/18:1)+H,SM,(d12:0/18:1),M+H,C35 H72 O6 N2 P1,647.51092,15.869814,P,1,647.5114685,647.5122525,C
PC(16:0/10:0)+H,PC,(16:0/10:0),M+H,C34 H69 O8 N1 P1,650.474901,15.786277,P,1,650.4754495,650.4755335,C
SM(d13:0/18:1)+H,SM,(d13:0/18:1),M+H,C36 H74 O6 N2 P1,661.526849,16.81279,P,1,661.5273975,661.5279025,C
SM(d14:1/18:1)+H,SM,(d14:1/18:1),M+H,C37 H74 O6 N2 P1,673.527374,16.391646,P,1,673.5279225,673.5279025,C
SM(d16:1/16:0)+H,SM,(d16:1/16:0),M+H,C37 H76 O6 N2 P1,675.54286,18.127751,P,1,675.5434085,675.5435525,C
PC(16:1/12:0)+H,PC,(16:1/12:0),M+H,C36 H71 O8 N1 P1,676.490121,17.541845,P,1,676.4906695,676.4911835,C
SM(d15:0/18:1)+H,SM,(d15:0/18:1),M+H,C38 H78 O6 N2 P1,689.558012,19.151012,P,1,689.5585605,689.5592025,C
PC(16:1/13:0)+H,PC,(16:1/13:0),M+H,C37 H73 O8 N1 P1,690.505775,20.424652,P,1,690.5063235,690.5068335,C
PC(16:0/13:0)+H,PC,(16:0/13:0),M+H,C37 H75 O8 N1 P1,692.520278,18.32227,P,1,692.5208265,692.5224835,C
PC(14:0e/16:0)+H,PC,(14:0e/16:0),M+H,C38 H79 O7 N1 P1,692.558016,20.977861,P,1,692.5585645,692.5588685,C
SM(d16:0/18:4)+H,SM,(d16:0/18:4),M+H,C39 H74 O6 N2 P1,697.524893,17.67612,P,1,697.5254415,697.5279025,C
SM(d16:0/18:3)+H,SM,(d16:0/18:3),M+H,C39 H76 O6 N2 P1,699.541806,17.49792,P,1,699.5423545,699.5435525,C
PC(8:0/22:3)+H,PC,(8:0/22:3),M+H,C38 H71 O8 N1 P1,700.489502,15.974879,P,1,700.4900505,700.4911835,C
SM(d16:1/18:1)+H,SM,(d16:1/18:1),M+H,C39 H78 O6 N2 P1,701.558154,18.36611,P,1,701.5587025,701.5592025,C
PC(12:0/18:2)+H,PC,(12:0/18:2),M+H,C38 H73 O8 N1 P1,702.505884,16.65599,P,1,702.5064325,702.5068335,C
SM(d16:0/18:1)+H,SM,(d16:0/18:1),M+H,C39 H80 O6 N2 P1,703.573892,19.940402,P,1,703.5744405,703.5748525,C
PC(16:1/14:0)+H,PC,(16:1/14:0),M+H,C38 H75 O8 N1 P1,704.521269,18.758593,P,1,704.5218175,704.5224835,C
SM(d16:0/18:0)+H,SM,(d16:0/18:0),M+H,C39 H82 O6 N2 P1,705.587963,21.528597,P,1,705.5885115,705.5905025,C
PC(16:0e/15:0)+H,PC,(16:0e/15:0),M+H,C39 H81 O7 N1 P1,706.574692,22.144087,P,1,706.5752405,706.5745185,C
PC(15:1/16:2)+H,PC,(15:1/16:2),M+H,C39 H73 O8 N1 P1,714.506916,16.667232,P,1,714.5074645,714.5068335,C
PC(16:1/15:1)+H,PC,(16:1/15:1),M+H,C39 H75 O8 N1 P1,716.521329,18.477918,P,1,716.5218775,716.5224835,C
SM(d14:1/18:1)+HCOO,SM,(d14:1/18:1),M+HCOO,C38 H74 O8 N2 P1,717.519214,15.914521,N,1,717.5186655,717.5188295,C
PC(16:0/15:1)+H,PC,(16:0/15:1),M+H,C39 H77 O8 N1 P1,718.537431,22.22267,P,1,718.5379795,718.5381335,C
PC(16:0e/16:1)+H,PC,(16:0e/16:1),M+H,C40 H81 O7 N1 P1,718.572885,20.767923,P,1,718.5734335,718.5745185,C
PC(16:0/15:0)+H,PC,(16:0/15:0),M+H,C39 H79 O8 N1 P1,720.552909,20.512973,P,1,720.5534575,720.5537835,C
PC(16:0e/16:0)+H,PC,(16:0e/16:0),M+H,C40 H83 O7 N1 P1,720.589259,22.764674,P,1,720.5898075,720.5901685,C
SM(d16:0/20:5)+H,SM,(d16:0/20:5),M+H,C41 H76 O6 N2 P1,723.54003,17.86723,P,1,723.5405785,723.5435525,C
PC(12:0/20:4)+H,PC,(12:0/20:4),M+H,C40 H73 O8 N1 P1,726.503414,18.515126,P,1,726.5039625,726.5068335,C
PC(16:1/16:2)+H,PC,(16:1/16:2),M+H,C40 H75 O8 N1 P1,728.521791,18.199672,P,1,728.5223395,728.5224835,C
SM(d18:1/18:1)+H,SM,(d18:1/18:1),M+H,C41 H82 O6 N2 P1,729.589731,20.517525,P,1,729.5902795,729.5905025,C
PC(16:1/16:1)+H,PC,(16:1/16:1),M+H,C40 H77 O8 N1 P1,730.537367,18.19512,P,1,730.5379155,730.5381335,C
SM(d18:1/18:0)+H,SM,(d18:1/18:0),M+H,C41 H84 O6 N2 P1,731.605322,21.859018,P,1,731.6058705,731.6061525,C
PC(16:0/16:1)+H,PC,(16:0/16:1),M+H,C40 H79 O8 N1 P1,732.552198,19.586483,P,1,732.5527465,732.5537835,C
PC(16:0/16:0)+H,PC,(16:0/16:0),M+H,C40 H81 O8 N1 P1,734.568324,21.677359,P,1,734.5688725,734.5694335,C
PC(16:0e/17:0)+H,PC,(16:0e/17:0),M+H,C41 H85 O7 N1 P1,734.605014,23.75234,P,1,734.6055625,734.6058185,C
PC(13:0/20:5)+H,PC,(13:0/20:5),M+H,C41 H73 O8 N1 P1,738.505375,18.895456,P,1,738.5059235,738.5068335,C
PC(13:0/20:4)+H,PC,(13:0/20:4),M+H,C41 H75 O8 N1 P1,740.522238,17.245209,P,1,740.5227865,740.5224835,C
PC(15:1/18:2)+H,PC,(15:1/18:2),M+H,C41 H77 O8 N1 P1,742.536652,17.829403,P,1,742.5372005,742.5381335,C
PC(15:0/18:2)+H,PC,(15:0/18:2),M+H,C41 H79 O8 N1 P1,744.553011,22.046176,P,1,744.5535595,744.5537835,C
PC(16:0/17:1)+H,PC,(16:0/17:1),M+H,C41 H81 O8 N1 P1,746.56814,20.739944,P,1,746.5686885,746.5694335,C
PC(16:0e/18:1)+H,PC,(16:0e/18:1),M+H,C42 H85 O7 N1 P1,746.604318,22.583547,P,1,746.6048665,746.6058185,C
PC(18:0e/16:0)+H,PC,(18:0e/16:0),M+H,C42 H87 O7 N1 P1,748.619857,25.069384,P,1,748.6204055,748.6214685,C
PC(16:2/18:3)+H,PC,(16:2/18:3),M+H,C42 H75 O8 N1 P1,752.519507,19.055716,P,1,752.5200555,752.5224835,C
PC(16:1/18:3)+H,PC,(16:1/18:3),M+H,C42 H77 O8 N1 P1,754.537052,18.004403,P,1,754.5376005,754.5381335,C
PC(16:1/18:2)+H,PC,(16:1/18:2),M+H,C42 H79 O8 N1 P1,756.552316,19.085952,P,1,756.5528645,756.5537835,C
PC(16:0/18:2)+H,PC,(16:0/18:2),M+H,C42 H81 O8 N1 P1,758.567968,19.614358,P,1,758.5685165,758.5694335,C
PC(16:0p/19:1)+H,PC,(16:0p/19:1),M+H,C43 H85 O7 N1 P1,758.602794,24.983855,P,1,758.6033425,758.6058185,C
SM(d20:0/18:1)+H,SM,(d20:0/18:1),M+H,C43 H88 O6 N2 P1,759.636123,23.743266,P,1,759.6366715,759.6374525,C
PC(16:0/18:1)+H,PC,(16:0/18:1),M+H,C42 H83 O8 N1 P1,760.58372,22.106609,P,1,760.5842685,760.5850835,C
PC(16:0e/19:1)+H,PC,(16:0e/19:1),M+H,C43 H87 O7 N1 P1,760.620056,27.423164,P,1,760.6206045,760.6214685,C
PC(18:0/16:0)+H,PC,(18:0/16:0),M+H,C42 H85 O8 N1 P1,762.599554,23.178366,P,1,762.6001025,762.6007335,C
PC(15:1/20:4)+H,PC,(15:1/20:4),M+H,C43 H77 O8 N1 P1,766.536379,20.422394,P,1,766.5369275,766.5381335,C
PC(15:0/20:4)+H,PC,(15:0/20:4),M+H,C43 H79 O8 N1 P1,768.552553,21.809603,P,1,768.5531015,768.5537835,C
PC(17:1/18:2)+H,PC,(17:1/18:2),M+H,C43 H81 O8 N1 P1,770.568535,23.139093,P,1,770.5690835,770.5694335,C
PC(16:1/19:1)+H,PC,(16:1/19:1),M+H,C43 H83 O8 N1 P1,772.583552,20.615617,P,1,772.5841005,772.5850835,C
PC(18:0e/18:2)+H,PC,(18:0e/18:2),M+H,C44 H87 O7 N1 P1,772.6197,22.609226,P,1,772.6202485,772.6214685,C
PC(16:0/19:1)+H,PC,(16:0/19:1),M+H,C43 H85 O8 N1 P1,774.599936,22.320449,P,1,774.6004845,774.6007335,C
PC(18:0e/18:1)+H,PC,(18:0e/18:1),M+H,C44 H89 O7 N1 P1,774.635562,24.210765,P,1,774.6361105,774.6371185,C
PC(16:2/20:5)+H,PC,(16:2/20:5),M+H,C44 H75 O8 N1 P1,776.521555,18.865212,P,1,776.5221035,776.5224835,C
PC(16:0/19:0)+H,PC,(16:0/19:0),M+H,C43 H87 O8 N1 P1,776.614495,23.671394,P,1,776.6150435,776.6163835,C
PC(16:0e/20:0)+H,PC,(16:0e/20:0),M+H,C44 H91 O7 N1 P1,776.65148,26.293409,P,1,776.6520285,776.6527685,C
PC(16:1/20:5)+H,PC,(16:1/20:5),M+H,C44 H77 O8 N1 P1,778.536896,17.150369,P,1,778.5374445,778.5381335,C
PC(16:1/20:4)+H,PC,(16:1/20:4),M+H,C44 H79 O8 N1 P1,780.552183,18.723814,P,1,780.5527315,780.5537835,C
DG(32:1/14:0)+NH4,DG,(32:1/14:0),M+NH4,C49 H98 O5 N1,780.741284,28.920821,P,1,780.7418325,780.7439505,C
PC(16:0/20:4)+H,PC,(16:0/20:4),M+H,C44 H81 O8 N1 P1,782.56777,19.266702,P,1,782.5683185,782.5694335,C
TG(16:0e/14:0/16:0)+NH4,TG,(16:0e/14:0/16:0),M+NH4,C49 H100 O5 N1,782.758513,30.03794,P,1,782.7590615,782.7596005,C
PC(18:1/18:2)+H,PC,(18:1/18:2),M+H,C44 H83 O8 N1 P1,784.583153,20.343842,P,1,784.5837015,784.5850835,C
SM(d16:0/24:2)+H,SM,(d16:0/24:2),M+H,C45 H90 O6 N2 P1,785.651734,23.538916,P,1,785.6522825,785.6531025,C
PC(18:0/18:2)+H,PC,(18:0/18:2),M+H,C44 H85 O8 N1 P1,786.598739,21.381909,P,1,786.5992875,786.6007335,C
SM(d16:0/24:1)+H,SM,(d16:0/24:1),M+H,C45 H92 O6 N2 P1,787.667698,25.265448,P,1,787.6682465,787.6687525,C
PC(18:0/18:1)+H,PC,(18:0/18:1),M+H,C44 H87 O8 N1 P1,788.614716,23.007837,P,1,788.6152645,788.6163835,C
PC(15:0/22:6)+H,PC,(15:0/22:6),M+H,C45 H79 O8 N1 P1,792.55271,20.348394,P,1,792.5532585,792.5537835,C
PC(17:1/20:4)+H,PC,(17:1/20:4),M+H,C45 H81 O8 N1 P1,794.568088,21.837918,P,1,794.5686365,794.5694335,C
PC(18:0p/20:4)+H,PC,(18:0p/20:4),M+H,C46 H85 O7 N1 P1,794.603171,20.891805,P,1,794.6037195,794.6058185,C
PC(17:0/20:4)+H,PC,(17:0/20:4),M+H,C45 H83 O8 N1 P1,796.584311,23.506429,P,1,796.5848595,796.5850835,C
PC(19:1/18:2)+H,PC,(19:1/18:2),M+H,C45 H85 O8 N1 P1,798.596937,21.582182,P,1,798.5974855,798.6007335,C
SM(d16:0/25:2)+H,SM,(d16:0/25:2),M+H,C46 H92 O6 N2 P1,799.66736,24.247863,P,1,799.6679085,799.6687525,C
PC(18:4/20:5)+H,PC,(18:4/20:5),M+H,C46 H75 O8 N1 P1,800.519549,17.416755,P,1,800.5200975,800.5224835,C
PC(19:0/18:2)+H,PC,(19:0/18:2),M+H,C45 H87 O8 N1 P1,800.614855,22.655372,P,1,800.6154035,800.6163835,C
SM(d16:0/25:1)+H,SM,(d16:0/25:1),M+H,C46 H94 O6 N2 P1,801.682128,25.770201,P,1,801.6826765,801.6844025,C
PC(18:0/19:1)+H,PC,(18:0/19:1),M+H,C45 H89 O8 N1 P1,802.63002,23.701719,P,1,802.6305685,802.6320335,C
PC(16:1/22:6)+H,PC,(16:1/22:6),M+H,C46 H79 O8 N1 P1,804.552206,17.908861,P,1,804.5527545,804.5537835,C
PC(16:0e/22:0)+H,PC,(16:0e/22:0),M+H,C46 H95 O7 N1 P1,804.682798,27.753006,P,1,804.6833465,804.6840685,C
PC(16:0/22:6)+H,PC,(16:0/22:6),M+H,C46 H81 O8 N1 P1,806.567956,18.970118,P,1,806.5685045,806.5694335,C
PC(18:1/20:4)+H,PC,(18:1/20:4),M+H,C46 H83 O8 N1 P1,808.583006,19.482162,P,1,808.5835545,808.5850835,C
PE(20:1p/22:3)+H,PE,(20:1p/22:3),M+H,C47 H87 O7 N1 P1,808.620287,24.600382,P,1,808.6208355,808.6214685,C
PC(18:0/20:4)+H,PC,(18:0/20:4),M+H,C46 H85 O8 N1 P1,810.598756,20.550055,P,1,810.5993045,810.6007335,C
SM(d16:0/26:3)+H,SM,(d16:0/26:3),M+H,C47 H92 O6 N2 P1,811.667152,23.420998,P,1,811.6677005,811.6687525,C
PS(18:1/20:2)-H,PS,(18:1/20:2),M-H,C44 H79 O10 N1 P1,812.545316,21.882616,N,1,812.5447675,812.5447105,C
PC(20:1/18:2)+H,PC,(20:1/18:2),M+H,C46 H87 O8 N1 P1,812.614654,22.108885,P,1,812.6152025,812.6163835,C
PE(18:0p/24:2)+H,PE,(18:0p/24:2),M+H,C47 H91 O7 N1 P1,812.654133,27.991171,P,1,812.6546815,812.6527685,C
SM(d16:0/26:2)+H,SM,(d16:0/26:2),M+H,C47 H94 O6 N2 P1,813.682956,25.025536,P,1,813.6835045,813.6844025,C
PC(20:0/18:2)+H,PC,(20:0/18:2),M+H,C46 H89 O8 N1 P1,814.630611,23.180643,P,1,814.6311595,814.6320335,C
SM(d16:0/26:1)+H,SM,(d16:0/26:1),M+H,C47 H96 O6 N2 P1,815.698681,26.611551,P,1,815.6992295,815.7000525,C
PC(16:0p/24:7)+H,PC,(16:0p/24:7),M+H,C48 H83 O7 N1 P1,816.592157,19.743254,P,1,816.5927055,816.5901685,C
PC(16:0/22:1)+H,PC,(16:0/22:1),M+H,C46 H91 O8 N1 P1,816.645643,24.31436,P,1,816.6461915,816.6476835,C
PC(17:1/22:6)+H,PC,(17:1/22:6),M+H,C47 H81 O8 N1 P1,818.56802,18.684506,P,1,818.5685685,818.5694335,C
PC(18:0p/22:6)+H,PC,(18:0p/22:6),M+H,C48 H85 O7 N1 P1,818.600489,20.278265,P,1,818.6010375,818.6058185,C
PC(17:0/22:6)+H,PC,(17:0/22:6),M+H,C47 H83 O8 N1 P1,820.582294,18.897733,P,1,820.5828425,820.5850835,C
PC(18:0e/22:6)+H,PC,(18:0e/22:6),M+H,C48 H87 O7 N1 P1,820.619951,21.012607,P,1,820.6204995,820.6214685,C
PC(19:1/20:4)+H,PC,(19:1/20:4),M+H,C47 H85 O8 N1 P1,822.597731,20.313546,P,1,822.5982795,822.6007335,C
PC(19:0/20:4)+H,PC,(19:0/20:4),M+H,C47 H87 O8 N1 P1,824.614216,21.47507,P,1,824.6147645,824.6163835,C
PC(16:1p/24:2)+H,PC,(16:1p/24:2),M+H,C48 H91 O7 N1 P1,824.651141,23.115681,P,1,824.6516895,824.6527685,C
PC(18:4/22:6)+H,PC,(18:4/22:6),M+H,C48 H77 O8 N1 P1,826.533603,17.864399,P,1,826.5341515,826.5381335,C
PC(15:1/24:2)+H,PC,(15:1/24:2),M+H,C47 H89 O8 N1 P1,826.629108,22.141828,P,1,826.6296565,826.6320335,C
PC(16:0p/24:2)+H,PC,(16:0p/24:2),M+H,C48 H93 O7 N1 P1,826.664824,24.475548,P,1,826.6653725,826.6684185,C
SM(d16:0/27:2)+H,SM,(d16:0/27:2),M+H,C48 H96 O6 N2 P1,827.69896,25.98883,P,1,827.6995085,827.7000525,C
PC(16:2/24:7)+H,PC,(16:2/24:7),M+H,C48 H79 O8 N1 P1,828.552061,17.242934,P,1,828.5526095,828.5537835,C
PC(20:1/19:1)+H,PC,(20:1/19:1),M+H,C47 H91 O8 N1 P1,828.646234,26.509997,P,1,828.6467825,828.6476835,C
PC(16:1/24:7)+H,PC,(16:1/24:7),M+H,C48 H81 O8 N1 P1,830.567735,17.789976,P,1,830.5682835,830.5694335,C
PC(20:0/19:1)+H,PC,(20:0/19:1),M+H,C47 H93 O8 N1 P1,830.662124,27.330733,P,1,830.6626725,830.6633335,C
PC(18:0e/22:1)+H,PC,(18:0e/22:1),M+H,C48 H97 O7 N1 P1,830.696595,27.222362,P,1,830.6971435,830.6997185,C
SM(d18:1/22:0)+HCOO,SM,(d18:1/22:0),M+HCOO,C46 H92 O8 N2 P1,831.660466,25.23783,N,1,831.6599175,831.6596795,C
PC(18:1/22:6)+H,PC,(18:1/22:6),M+H,C48 H83 O8 N1 P1,832.583683,19.35216,P,1,832.5842315,832.5850835,C
PC(18:0/22:6)+H,PC,(18:0/22:6),M+H,C48 H85 O8 N1 P1,834.598837,19.886794,P,1,834.5993855,834.6007335,C
SM(d16:0/28:5)+H,SM,(d16:0/28:5),M+H,C49 H92 O6 N2 P1,835.664965,24.477825,P,1,835.6655135,835.6687525,C
PC(20:1/20:4)+H,PC,(20:1/20:4),M+H,C48 H87 O8 N1 P1,836.614112,20.954488,P,1,836.6146605,836.6163835,C
PC(18:4/18:1)+CH3COO,PC,(18:4/18:1),M+CH3COO,C46 H81 O10 N1 P1,838.557173,19.34047,N,1,838.5566245,838.5603605,C
PC(20:0/20:4)+H,PC,(20:0/20:4),M+H,C48 H89 O8 N1 P1,838.629929,22.620591,P,1,838.6304775,838.6320335,C
SM(d16:0/28:3)+H,SM,(d16:0/28:3),M+H,C49 H96 O6 N2 P1,839.698769,25.270001,P,1,839.6993175,839.7000525,C
PC(16:1/24:2)+H,PC,(16:1/24:2),M+H,C48 H91 O8 N1 P1,840.646011,23.573671,P,1,840.6465595,840.6476835,C
SM(d16:0/28:2)+H,SM,(d16:0/28:2),M+H,C49 H98 O6 N2 P1,841.71432,26.348691,P,1,841.7148685,841.7157025,C
PC(16:0/24:2)+H,PC,(16:0/24:2),M+H,C48 H93 O8 N1 P1,842.661546,24.639636,P,1,842.6620945,842.6633335,C
SM(d16:0/25:2)+HCOO,SM,(d16:0/25:2),M+HCOO,C47 H92 O8 N2 P1,843.660464,24.730167,N,1,843.6599155,843.6596795,C
PC(18:0/22:1)+H,PC,(18:0/22:1),M+H,C48 H95 O8 N1 P1,844.678278,27.328456,P,1,844.6788265,844.6789835,C
PC(16:0/24:0)+H,PC,(16:0/24:0),M+H,C48 H97 O8 N1 P1,846.693559,27.852218,P,1,846.6941075,846.6946335,C
PC(18:2p/24:2)+H,PC,(18:2p/24:2),M+H,C50 H93 O7 N1 P1,850.666056,24.169117,P,1,850.6666045,850.6684185,C
PC(20:5/22:6)+H,PC,(20:5/22:6),M+H,C50 H79 O8 N1 P1,852.552121,16.205315,P,1,852.5526695,852.5537835,C
PC(19:0/22:4)+H,PC,(19:0/22:4),M+H,C49 H91 O8 N1 P1,852.646687,22.685566,P,1,852.6472355,852.6476835,C
PC(18:1p/24:2)+H,PC,(18:1p/24:2),M+H,C50 H95 O7 N1 P1,852.67861,24.889292,P,1,852.6791585,852.6840685,C
PC(20:4/22:6)+H,PC,(20:4/22:6),M+H,C50 H81 O8 N1 P1,854.567282,17.748286,P,1,854.5678305,854.5694335,C
PC(17:1/24:2)+H,PC,(17:1/24:2),M+H,C49 H93 O8 N1 P1,854.661069,23.789402,P,1,854.6616175,854.6633335,C
PC(18:0p/24:2)+H,PC,(18:0p/24:2),M+H,C50 H97 O7 N1 P1,854.697964,25.997905,P,1,854.6985125,854.6997185,C
SM(d16:0/26:3)+HCOO,SM,(d16:0/26:3),M+HCOO,C48 H92 O8 N2 P1,855.65986,24.017321,N,1,855.6593115,855.6596795,C
PC(20:3/22:6)+H,PC,(20:3/22:6),M+H,C50 H83 O8 N1 P1,856.58365,18.291958,P,1,856.5841985,856.5850835,C
PC(17:0/24:2)+H,PC,(17:0/24:2),M+H,C49 H95 O8 N1 P1,856.675779,25.657384,P,1,856.6763275,856.6789835,C
PC(18:0e/24:2)+H,PC,(18:0e/24:2),M+H,C50 H99 O7 N1 P1,856.709894,27.125568,P,1,856.7104425,856.7153685,C
DG(38:5/14:0)+NH4,DG,(38:5/14:0),M+NH4,C55 H102 O5 N1,856.775542,29.109071,P,1,856.7760905,856.7752505,C
SM(d16:0/26:2)+HCOO,SM,(d16:0/26:2),M+HCOO,C48 H94 O8 N2 P1,857.675558,24.575102,N,1,857.6750095,857.6753295,C
SM(d18:1/24:1)+HCOO,SM,(d18:1/24:1),M+HCOO,C48 H94 O8 N2 P1,857.6756,25.129819,N,1,857.6750515,857.6753295,C
PC(18:1/24:7)+H,PC,(18:1/24:7),M+H,C50 H85 O8 N1 P1,858.598875,19.391479,P,1,858.5994235,858.6007335,C
PC(19:0/22:1)+H,PC,(19:0/22:1),M+H,C49 H97 O8 N1 P1,858.692222,26.574364,P,1,858.6927705,858.6946335,C
SM(d16:0/26:1)+HCOO,SM,(d16:0/26:1),M+HCOO,C48 H96 O8 N2 P1,859.691636,26.376518,N,1,859.6910875,859.6909795,C
PC(20:1/22:6)+H,PC,(20:1/22:6),M+H,C50 H87 O8 N1 P1,860.614216,20.980136,P,1,860.6147645,860.6163835,C
PC(20:0/22:6)+H,PC,(20:0/22:6),M+H,C50 H89 O8 N1 P1,862.629837,22.08098,P,1,862.6303855,862.6320335,C
PS(26:5/16:0)-H,PS,(26:5/16:0),M-H,C48 H83 O10 N1 P1,864.570822,23.249833,N,1,864.5702735,864.5760105,C
PC(20:0/22:5)+H,PC,(20:0/22:5),M+H,C50 H91 O8 N1 P1,864.645366,22.618314,P,1,864.6459145,864.6476835,C
PC(20:0/22:4)+H,PC,(20:0/22:4),M+H,C50 H93 O8 N1 P1,866.661607,24.219869,P,1,866.6621555,866.6633335,C
PC(18:1/24:2)+H,PC,(18:1/24:2),M+H,C50 H95 O8 N1 P1,868.677256,24.7578,P,1,868.6778045,868.6789835,C
PC(20:0e/23:3)+H,PC,(20:0e/23:3),M+H,C51 H99 O7 N1 P1,868.71697,27.805981,P,1,868.7175185,868.7153685,C
PC(18:0/24:2)+H,PC,(18:0/24:2),M+H,C50 H97 O8 N1 P1,870.693242,26.40181,P,1,870.6937905,870.6946335,C
SM(d16:0/27:2)+HCOO,SM,(d16:0/27:2),M+HCOO,C49 H96 O8 N2 P1,871.693976,25.968084,N,1,871.6934275,871.6909795,C
PC(18:0/24:1)+H,PC,(18:0/24:1),M+H,C50 H99 O8 N1 P1,872.708817,27.473929,P,1,872.7093655,872.7102835,C
PC(18:0/24:0)+H,PC,(18:0/24:0),M+H,C50 H101 O8 N1 P1,874.722008,28.032941,P,1,874.7225565,874.7259335,C
PC(22:6/22:6)+H,PC,(22:6/22:6),M+H,C52 H81 O8 N1 P1,878.568213,17.363717,P,1,878.5687615,878.5694335,C
PC(22:5/22:6)+H,PC,(22:5/22:6),M+H,C52 H83 O8 N1 P1,880.583773,17.941507,P,1,880.5843215,880.5850835,C
PC(22:4/22:6)+H,PC,(22:4/22:6),M+H,C52 H85 O8 N1 P1,882.598015,18.489318,P,1,882.5985635,882.6007335,C
PC(19:1/24:2)+H,PC,(19:1/24:2),M+H,C51 H97 O8 N1 P1,882.692112,25.573959,P,1,882.6926605,882.6946335,C
PC(19:0/24:2)+H,PC,(19:0/24:2),M+H,C51 H99 O8 N1 P1,884.708757,26.519072,P,1,884.7093055,884.7102835,C
SM(d16:0/28:2)+HCOO,SM,(d16:0/28:2),M+HCOO,C50 H98 O8 N2 P1,885.708026,26.701064,N,1,885.7074775,885.7066295,C
DG(36:2/18:1)+NH4,DG,(36:2/18:1),M+NH4,C57 H110 O5 N1,888.835989,29.58558,P,1,888.8365375,888.8378505,C
PC(24:1/20:4)+H,PC,(24:1/20:4),M+H,C52 H95 O8 N1 P1,892.676351,24.480119,P,1,892.6768995,892.6789835,C
